# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 3.8503926814140463,1.6700021760000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.885485161414047,1.6770206720000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.9203818014140466,1.6840000000000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.9550864414140463,1.6909409280000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.989602921414047,1.6978442240000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.023935081414047,1.7047106560000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.058086761414047,1.7115409920000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.092061801414046,1.7183360000000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.125864041414047,1.7250964480000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.159497321414047,1.7318231040000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.192965481414046,1.7385167360000002,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.226272361414046,1.7451781120000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.259421801414047,1.7518080000000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.292417641414047,1.7584071680000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.325263721414047,1.7649763840000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.357963881414046,1.7715164160000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.390521961414047,1.7780280320000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.422941801414045,1.7845120000000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.455227241414046,1.7909690880000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.487382121414046,1.7974000640000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.5194102814140455,1.8038056960000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.551315561414047,1.8101867520000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.583101801414045,1.8165440000000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.614772841414045,1.8228782080000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.646332521414046,1.8291901440000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.677784681414046,1.8354805760000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.709133161414047,1.8417502720000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.7403818014140455,1.8480000000000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.771534441414046,1.8542305280000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.802594921414046,1.8604426240000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.833567081414047,1.8666370560000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.864454761414047,1.8728145920000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.895261801414046,1.8789760000000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 4.925992041414046,1.8851220480000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
